uniname,sponame,Name,name,Uni_name,City,Student_pop,Public,City_pop,Cost,username,password,email,dob,hsgraddate,gpa,state,city,major,Uniname,Majorname
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,History
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Art
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Math
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Music
,,,,,,,,,,,,,,,,,,,California Polytechnic State University,Architecture
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Business
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Psychology
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Biology
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Engineering
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Education
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Communications
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Anthropology
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Computer Science
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",English
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Economics
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Political Science
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",History
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Art
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Math
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Environmental Sciences
,,,,,,,,,,,,,,,,,,,"California State Polytechnic University, Pomona",Foreign Language
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Education
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Computer Science
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",English
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Economics
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Political Science
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",History
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Art
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Math
,,,,,,,,,,,,,,,,,,,"California State University, Bakersfield",Environmental Science
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Business and Management
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Nursing
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Psychology
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Biology
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Engineering
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Education
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Communications
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Anthropology
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Computer Science
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,English
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Economics
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Political Science
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,History
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Art
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Math
,,,,,,,,,,,,,,,,,,,California State University Channel Islands,Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Education
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Computer Science
,,,,,,,,,,,,,,,,,,,"California State University, Chico",English
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Economics
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Political Science
,,,,,,,,,,,,,,,,,,,"California State University, Chico",History
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Art
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Math
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Sociology
,,,,,,,,,,,,,,,,,,,"California State University, Chico",Food and Nutrition
,,,,,,,,,,,,,,,,,,,"California State University, Dominguez Hills",Business
,,,,,,,,,,,,,,,,,,,"California State University, Dominguez Hills",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Dominguez Hills",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Dominguez Hills",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, Dominguez Hills",Computer Science
,,,,,,,,,,,,,,,,,,,"California State University, Dominguez Hills",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Dominguez Hills",Chemistry
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Biology
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Education
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Communications
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Food and Nutrition
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Sociology
,,,,,,,,,,,,,,,,,,,"California State University, East Bay",Music
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Education
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Fresno",Food and Nutrition
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Education
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Computer Science
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",English
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Economics
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Political Science
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",History
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Art
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Math
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, Fullerton",Foreign Languages
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Education
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Computer Science
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",English
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Economics
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Political Science
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",History
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Art
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Math
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Foreign Languages
,,,,,,,,,,,,,,,,,,,"California State University, Long Beach",Chemistry
,,,,,,,,,,,,,,,,,,,"California State University, Los Angeles",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Los Angeles",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Los Angeles",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Los Angeles",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Los Angeles",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, Los Angeles",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Los Angeles",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State University, Los Angeles",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Los Angeles",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Education
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Art
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Math
,,,,,,,,,,,,,,,,,,,"California State University, Monterey Bay",Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Education
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Computer Science
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",English
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Economics
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Political Science
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",History
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Art
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Math
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Foreign Languages
,,,,,,,,,,,,,,,,,,,"California State University, Northridge",Chemistry
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Education
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Computer Science
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",English
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Economics
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Political Science
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",History
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Art
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Math
,,,,,,,,,,,,,,,,,,,"California State University, Sacramento",Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Biology
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Education
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Communications
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Computer Science
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",English
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Economics
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Political Science
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",History
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Art
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Math
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Foreign Languages
,,,,,,,,,,,,,,,,,,,"California State University, San Bernardino",Chemistry
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Biology
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Biology
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Economics
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Political Science
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",History
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Art
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Math
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Foreign Languages
,,,,,,,,,,,,,,,,,,,"California State University, San Marcos",Chemistry
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Business and Management
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Nursing
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Psychology
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Biology
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Engineering
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Education
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Communications
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Finance and Accounting
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Criminal Justice
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Anthropology
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Computer Science
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",English
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Economics
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Political Science
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",History
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Art
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Math
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Environmental Science
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Foreign Languages
,,,,,,,,,,,,,,,,,,,"California State University, Stanislaus",Chemistry
,,,,,,,,,,,,,,,,,,,Humboldt State University,Business and Management
,,,,,,,,,,,,,,,,,,,Humboldt State University,Nursing
,,,,,,,,,,,,,,,,,,,Humboldt State University,Psychology
,,,,,,,,,,,,,,,,,,,Humboldt State University,Biology
,,,,,,,,,,,,,,,,,,,Humboldt State University,Engineering
,,,,,,,,,,,,,,,,,,,Humboldt State University,Education
,,,,,,,,,,,,,,,,,,,Humboldt State University,Communications
,,,,,,,,,,,,,,,,,,,Humboldt State University,Criminal Justice
,,,,,,,,,,,,,,,,,,,Humboldt State University,Anthropology
,,,,,,,,,,,,,,,,,,,Humboldt State University,Computer Science
,,,,,,,,,,,,,,,,,,,Humboldt State University,English
,,,,,,,,,,,,,,,,,,,Humboldt State University,Economics
,,,,,,,,,,,,,,,,,,,Humboldt State University,Political Science
,,,,,,,,,,,,,,,,,,,Humboldt State University,History
,,,,,,,,,,,,,,,,,,,Humboldt State University,Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,Humboldt State University,Art
,,,,,,,,,,,,,,,,,,,Humboldt State University,Math
,,,,,,,,,,,,,,,,,,,Humboldt State University,Environmental Science
,,,,,,,,,,,,,,,,,,,San Diego State University,Business and Management
,,,,,,,,,,,,,,,,,,,San Diego State University,Nursing
,,,,,,,,,,,,,,,,,,,San Diego State University,Psychology
,,,,,,,,,,,,,,,,,,,San Diego State University,Biology
,,,,,,,,,,,,,,,,,,,San Diego State University,Engineering
,,,,,,,,,,,,,,,,,,,San Diego State University,Education
,,,,,,,,,,,,,,,,,,,San Diego State University,Communications
,,,,,,,,,,,,,,,,,,,San Diego State University,Finance and Accounting
,,,,,,,,,,,,,,,,,,,San Diego State University,Criminal Justice
,,,,,,,,,,,,,,,,,,,San Diego State University,Anthropology
,,,,,,,,,,,,,,,,,,,San Francisco State University,Business and Management
,,,,,,,,,,,,,,,,,,,San Francisco State University,Nursing
,,,,,,,,,,,,,,,,,,,San Francisco State University,Psychology
,,,,,,,,,,,,,,,,,,,San Francisco State University,Biology
,,,,,,,,,,,,,,,,,,,San Francisco State University,Engineering
,,,,,,,,,,,,,,,,,,,San Francisco State University,Education
,,,,,,,,,,,,,,,,,,,San Francisco State University,Communications
,,,,,,,,,,,,,,,,,,,San Francisco State University,Finance and Accounting
,,,,,,,,,,,,,,,,,,,San Francisco State University,Criminal Justice
,,,,,,,,,,,,,,,,,,,San Francisco State University,Anthropology
,,,,,,,,,,,,,,,,,,,San Francisco State University,Computer Science
,,,,,,,,,,,,,,,,,,,San Francisco State University,English
,,,,,,,,,,,,,,,,,,,San Francisco State University,Economics
,,,,,,,,,,,,,,,,,,,San Francisco State University,Political Science
,,,,,,,,,,,,,,,,,,,San Francisco State University,History
,,,,,,,,,,,,,,,,,,,San Francisco State University,Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,San Francisco State University,Art
,,,,,,,,,,,,,,,,,,,San Francisco State University,Math
,,,,,,,,,,,,,,,,,,,San Francisco State University,Environmental Science
,,,,,,,,,,,,,,,,,,,San Francisco State University,Foreign Languages
,,,,,,,,,,,,,,,,,,,San Francisco State University,Chemistry
,,,,,,,,,,,,,,,,,,,San Jose State University,Business and Management
,,,,,,,,,,,,,,,,,,,San Jose State University,Nursing
,,,,,,,,,,,,,,,,,,,San Jose State University,Psychology
,,,,,,,,,,,,,,,,,,,San Jose State University,Biology
,,,,,,,,,,,,,,,,,,,San Jose State University,Engineering
,,,,,,,,,,,,,,,,,,,San Jose State University,Education
,,,,,,,,,,,,,,,,,,,San Jose State University,Communications
,,,,,,,,,,,,,,,,,,,San Jose State University,Finance and Accounting
,,,,,,,,,,,,,,,,,,,San Jose State University,Criminal Justice
,,,,,,,,,,,,,,,,,,,San Jose State University,Anthropology
,,,,,,,,,,,,,,,,,,,San Jose State University,Computer Science
,,,,,,,,,,,,,,,,,,,San Jose State University,English
,,,,,,,,,,,,,,,,,,,San Jose State University,Economics
,,,,,,,,,,,,,,,,,,,San Jose State University,Political Science
,,,,,,,,,,,,,,,,,,,San Jose State University,History
,,,,,,,,,,,,,,,,,,,San Jose State University,Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,San Jose State University,Art
,,,,,,,,,,,,,,,,,,,San Jose State University,Math
,,,,,,,,,,,,,,,,,,,San Jose State University,Environmental Science
,,,,,,,,,,,,,,,,,,,San Jose State University,Foreign Languages
,,,,,,,,,,,,,,,,,,,San Jose State University,Chemistry
,,,,,,,,,,,,,,,,,,,Sonoma State University,Business and Management
,,,,,,,,,,,,,,,,,,,Sonoma State University,Nursing
,,,,,,,,,,,,,,,,,,,Sonoma State University,Psychology
,,,,,,,,,,,,,,,,,,,Sonoma State University,Biology
,,,,,,,,,,,,,,,,,,,Sonoma State University,Engineering
,,,,,,,,,,,,,,,,,,,Sonoma State University,Education
,,,,,,,,,,,,,,,,,,,Sonoma State University,Communications
,,,,,,,,,,,,,,,,,,,Sonoma State University,Finance and Accounting
,,,,,,,,,,,,,,,,,,,Sonoma State University,Criminal Justice
,,,,,,,,,,,,,,,,,,,Sonoma State University,Anthropology
,,,,,,,,,,,,,,,,,,,Sonoma State University,Computer Science
,,,,,,,,,,,,,,,,,,,Sonoma State University,English
,,,,,,,,,,,,,,,,,,,Sonoma State University,Economics
,,,,,,,,,,,,,,,,,,,Sonoma State University,Political Science
,,,,,,,,,,,,,,,,,,,Sonoma State University,History
,,,,,,,,,,,,,,,,,,,Sonoma State University,Kinesiology and Physical Therapy
,,,,,,,,,,,,,,,,,,,Sonoma State University,Art
,,,,,,,,,,,,,,,,,,,Sonoma State University,Math
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Nursing
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Biology
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Engineering
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Music Education
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Communication Management
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Finance
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Accounting
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Criminal Justice
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Computer Science
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,English
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Business Economics Major
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Politcal Science
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,History
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Kinesiology
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Art
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Mathematics
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Spanish
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Chemistry
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Music
,,,,,,,,,,,,,,,,,,,Azusa Pacific University,Sociology
,,,,,,,,,,,,,,,,,,,Biola University ,Business Administration
,,,,,,,,,,,,,,,,,,,Biola University ,Nursing
,,,,,,,,,,,,,,,,,,,Biola University ,Psychology
,,,,,,,,,,,,,,,,,,,Biola University ,Biology
,,,,,,,,,,,,,,,,,,,Biola University ,Engineering Physics
,,,,,,,,,,,,,,,,,,,Biola University ,Education
,,,,,,,,,,,,,,,,,,,Biola University ,Communication Studies
,,,,,,,,,,,,,,,,,,,Biola University ,Finance
,,,,,,,,,,,,,,,,,,,Biola University ,Accounting
,,,,,,,,,,,,,,,,,,,Biola University ,Anthropology
,,,,,,,,,,,,,,,,,,,Biola University ,Computer Science
,,,,,,,,,,,,,,,,,,,Biola University ,English
,,,,,,,,,,,,,,,,,,,Biola University ,Political Science
,,,,,,,,,,,,,,,,,,,Biola University ,History
,,,,,,,,,,,,,,,,,,,Biola University ,Kinesiology
,,,,,,,,,,,,,,,,,,,Biola University ,Art
,,,,,,,,,,,,,,,,,,,Biola University ,Mathematics
,,,,,,,,,,,,,,,,,,,Biola University ,Environmental Science
,,,,,,,,,,,,,,,,,,,Biola University ,Spanish
,,,,,,,,,,,,,,,,,,,Biola University ,Chemistry
,,,,,,,,,,,,,,,,,,,Biola University ,Music
,,,,,,,,,,,,,,,,,,,Biola University ,Sociology
